title,address,city,state,postal_code,price,zestimate,facts and features,real estate provider,url
House for sale,,Washington,DC,20003,"$1,099,000",1144688,"4 bds, 4.0 ba ,2043 sqft",Keller Williams Capital Properties,https://www.zillow.com/homedetails/106-4th-St-SE-Washington-DC-20003/415690_zpid/
House for sale,,Washington,DC,20003,"$1,148,000",1051663,"3 bds, 2.0 ba ,2572 sqft",REMAX Platinum Realty,https://www.zillow.com/homedetails/1304-A-St-SE-Washington-DC-20003/423909_zpid/
House for sale,,Washington,DC,20003,"$812,500",762242,"4 bds, 2.0 ba ,1442 sqft",Keller Williams Capital Properties,https://www.zillow.com/homedetails/1009-15th-St-SE-Washington-DC-20003/425682_zpid/
House for sale,,Washington,DC,20003,"$868,500",888367,"2 bds, 2.0 ba ,1064 sqft",Compass,https://www.zillow.com/homedetails/825-E-St-SE-Washington-DC-20003/419488_zpid/
Townhouse for sale,,Washington,DC,20003,"$799,000",810986,"3 bds, 2.0 ba ,1320 sqft",Keller Williams Capitol Properties,https://www.zillow.com/homedetails/426-15th-St-SE-Washington-DC-20003/426050_zpid/
House for sale,,Washington,DC,20003,"$1,449,000",1483676,"5 bds, 4.0 ba ,2624 sqft",Compass,https://www.zillow.com/homedetails/120-Kentucky-Ave-SE-Washington-DC-20003/422533_zpid/
New construction,,Washington,DC,20003,"$1,595,000",,"3 bds, 4.0 ba ,2419 sqft",Monument Sotheby's International Realty,https://www.zillow.com/homedetails/1311-E-St-SE-28-Washington-DC-20003/2077726236_zpid/
Townhouse for sale,,Washington,DC,20003,"$850,000",866123,"4 bds, 3.0 ba ,1766 sqft",Keller Williams Capitol Properties,https://www.zillow.com/homedetails/536-13th-St-SE-Washington-DC-20003/424233_zpid/
Condo for sale,,Washington,DC,20003,"$600,000",600004,"2 bds, 2.0 ba ,837 sqft","McEnearney Associates, Inc.",https://www.zillow.com/homedetails/1500-Pennsylvania-Ave-SE-208-Washington-DC-20003/247165176_zpid/
Condo for sale,,Washington,DC,20003,"$840,000",840146,"2 bds, 2.0 ba ,1188 sqft",Compass,https://www.zillow.com/homedetails/1025-1st-St-SE-APT-1105-Washington-DC-20003/108432817_zpid/
Condo for sale,,Washington,DC,20003,"$124,414",124415,"1 bds, 1.0 ba ,691 sqft",Keller Williams Capital Properties,https://www.zillow.com/homedetails/1209-G-St-SE-UNIT-4-Washington-DC-20003/183132254_zpid/
Condo for sale,,Washington,DC,20003,"$385,000",388849,"1 bds, 1.0 ba ,619 sqft",Coldwell Banker Residential Brokerage,https://www.zillow.com/homedetails/909-E-St-SE-APT-2-Washington-DC-20003/420155_zpid/
House for sale,,Washington,DC,20003,"$1,449,900",1466957,"4 bds, 4.0 ba ,2744 sqft",Coldwell Banker Residential Brokerage,https://www.zillow.com/homedetails/1333-Massachusetts-Ave-SE-Washington-DC-20003/423998_zpid/
Condo for sale,,Washington,DC,20003,"$385,000",,"1 bds, 1.0 ba ,650 sqft",Compass,https://www.zillow.com/homedetails/1000-New-Jersey-Ave-SE-APT-1005-Washington-DC-20003/2099133807_zpid/
House for sale,,Washington,DC,20003,"$769,900",784463,"4 bds, 2.0 ba ,1612 sqft","Cap City Realty, Inc.",https://www.zillow.com/homedetails/1507-Pennsylvania-Ave-SE-Washington-DC-20003/426245_zpid/
Townhouse for sale,,Washington,DC,20003,"$699,950",715755,"2 bds, 1.0 ba ,970 sqft",Keller Williams Capital Properties,https://www.zillow.com/homedetails/1420-S-Carolina-Ave-SE-Washington-DC-20003/425343_zpid/
Condo for sale,,Washington,DC,20003,"$369,000",319971,"2 bds, 2.0 ba ,748 sqft",Redfin Corp,https://www.zillow.com/homedetails/1524-Independence-Ave-SE-APT-1-Washington-DC-20003/88806206_zpid/
House for sale,,Washington,DC,20003,"$1,728,500",1725326,"6 bds, 4.0 ba ,3570 sqft",Compass,https://www.zillow.com/homedetails/801-Independence-Ave-SE-Washington-DC-20003/419341_zpid/
House for sale,,Washington,DC,20003,"$575,000",625004,"2 bds, 2.0 ba ,1060 sqft","SourceOne Realty Group, LLC.",https://www.zillow.com/homedetails/1201-Potomac-Ave-SE-1-Washington-DC-20003/2078628112_zpid/
House for sale,,Washington,DC,20003,"$765,000",799006,"3 bds, 3.0 ba ,1476 sqft","SourceOne Realty Group, LLC.",https://www.zillow.com/homedetails/1201-Potomac-Ave-SE-2-Washington-DC-20003/2078628146_zpid/
New construction,,Washington,DC,20003,"$599,900",,"1 bds, 2.0 ba ,781 sqft",McWilliams/Ballard Inc.,https://www.zillow.com/homedetails/37-L-St-SE-401-Washington-DC-20003/2077723243_zpid/
House for sale,,Washington,DC,20003,"$674,997",676059,"2 bds, 2.0 ba ,912 sqft",TTR Sotheby's International Realty,https://www.zillow.com/homedetails/706-4th-St-SE-Washington-DC-20003/415894_zpid/
Condo for sale,,Washington,DC,20003,"$369,000",374228,"1 bds, 1.0 ba ,568 sqft",Compass,https://www.zillow.com/homedetails/414-Seward-Sq-SE-APT-202-Washington-DC-20003/415756_zpid/
House for sale,,Washington,DC,20003,"$1,849,000",1870382,"5 bds, 5.0 ba ,3521 sqft","Washington Fine Properties, LLC",https://www.zillow.com/homedetails/1008-E-Capitol-St-NE-Washington-DC-20003/295435559_zpid/
House for sale,,Washington,DC,20003,"$899,000",900605,"3 bds, 2.0 ba ,1335 sqft",,https://www.zillow.com/homedetails/922-4th-St-SE-Washington-DC-20003/108406245_zpid/
Condo for sale,,Washington,DC,20003,"$664,000",664005,"3 bds, 2.0 ba ,1244 sqft",RLAH Real Estate,https://www.zillow.com/homedetails/1391-Pennsylvania-Ave-SE-UNIT-309-Washington-DC-20003/82293649_zpid/
House for sale,,Washington,DC,20003,"$924,900",938113,"3 bds, 3.0 ba ,1860 sqft","WDC Realty Group, LLC",https://www.zillow.com/homedetails/518-11th-St-SE-Washington-DC-20003/421703_zpid/
House for sale,,Washington,DC,20003,"$799,999",810321,"3 bds, 3.0 ba ,1600 sqft","Pearson Smith Realty, LLC",https://www.zillow.com/homedetails/1014-13th-St-SE-Washington-DC-20003/424416_zpid/
Condo for sale,,Washington,DC,20003,"$325,000",325003,"1 bds, 1.0 ba ,464 sqft",RLAH Real Estate,https://www.zillow.com/homedetails/101-N-Carolina-Ave-SE-APT-106-Washington-DC-20003/68081125_zpid/
House for sale,,Washington,DC,20003,"$1,699,000",,"3 bds, 4.0 ba ,1443 sqft","4J Real Estate, LLC",https://www.zillow.com/homedetails/230-E-Capitol-St-NE-Washington-DC-20003/2077756553_zpid/
House for sale,,Washington,DC,20003,"$1,125,000",1125007,"4 bds, 4.0 ba ,1895 sqft",Compass,https://www.zillow.com/homedetails/1029-5th-St-SE-Washington-DC-20003/92415186_zpid/
Condo for sale,,Washington,DC,20003,"$599,000",619004,"2 bds, 1.0 ba ,879 sqft",Coldwell Banker Residential Brokerage,https://www.zillow.com/homedetails/1020-Pennsylvania-Ave-SE-APT-204-Washington-DC-20003/88808983_zpid/
Condo for sale,,Washington,DC,20003,"$239,900",239901,"0 bds, 1.0 ba ,394 sqft",Coldwell Banker Residential Brokerage,https://www.zillow.com/homedetails/414-Seward-Sq-SE-APT-303-Washington-DC-20003/415763_zpid/
Multi-family home for sale,,Washington,DC,20003,"$4,750,000",4628870,"7 bds, 5.0 ba ,5286 sqft",Coldwell Banker Residential Brokerage,https://www.zillow.com/homedetails/712-E-Capitol-St-NE-Washington-DC-20003/58754829_zpid/
Condo for sale,,Washington,DC,20003,"$549,900",549905,"2 bds, 2.0 ba ,1029 sqft",RLAH Real Estate,https://www.zillow.com/homedetails/1391-Pennsylvania-Ave-SE-UNIT-M09-Washington-DC-20003/82296565_zpid/
New construction,,Washington,DC,20003,"$549,900",549900,"2 bds, 2.0 ba ,None sqft",Compass,https://www.zillow.com/homedetails/1519-K-St-SE-201-Washington-DC-20003/2077822548_zpid/
House for sale,,Washington,DC,20003,"$1,049,000",1027088,"4 bds, 4.0 ba ,1782 sqft","RE/MAX Distinctive Real Estate, Inc.",https://www.zillow.com/homedetails/121-15th-St-SE-Washington-DC-20003/425292_zpid/
House for sale,,Washington,DC,20003,"$685,900",687045,"2 bds, 2.0 ba ,840 sqft",Coldwell Banker Residential Brokerage,https://www.zillow.com/homedetails/1617-Potomac-Ave-SE-Washington-DC-20003/426731_zpid/
Condo for sale,,Washington,DC,20003,"$549,900",554899,"2 bds, 2.0 ba ,858 sqft",Compass,https://www.zillow.com/homedetails/254-15th-St-SE-UNIT-3-Washington-DC-20003/247164635_zpid/
Condo for sale,,Washington,DC,20003,"$397,500",402632,"1 bds, 1.0 ba ,649 sqft","RE/MAX Gateway, LLC",https://www.zillow.com/homedetails/233-Kentucky-Ave-SE-APT-2-Washington-DC-20003/422766_zpid/
