title,address,city,state,postal_code,price,zestimate,zestimate_rent,price_to_rent_ratio,facts and features,real estate provider,url
House for sale,,Herndon,VA,20171,"$800,000",801142,3345,0.42,"4 bds, 4.0 ba ,3674 sqft",Keller Williams Realty,https://www.zillow.com/homedetails/13204-Stable-Brook-Way-Herndon-VA-20171/51729842_zpid/
House for sale,,Herndon,VA,20171,"$750,000",761014,3200,0.42,"5 bds, 4.0 ba ,2394 sqft",,https://www.zillow.com/homedetails/13214-Wrenn-House-Ln-Herndon-VA-20171/51762086_zpid/
House for sale,,Herndon,VA,20171,"$779,900",784232,3295,0.42,"4 bds, 4.0 ba ,2826 sqft",Redfin Corporation,https://www.zillow.com/homedetails/2411-Ripplemeade-Ct-Herndon-VA-20171/51731805_zpid/
House for sale,,Herndon,VA,20171,"$1,249,000",1249007,5013,0.4,"6 bds, 7.0 ba ,4840 sqft","Long & Foster Real Estate, Inc.",https://www.zillow.com/homedetails/12399-English-Garden-Ct-Herndon-VA-20171/52840093_zpid/
House for sale,,Herndon,VA,20171,"$649,000",655276,2900,0.44,"4 bds, 3.0 ba ,2491 sqft","Long & Foster Real Estate, Inc.",https://www.zillow.com/homedetails/12007-Westwood-Hills-Dr-Herndon-VA-20171/51765439_zpid/
House for sale,,Herndon,VA,20171,"$469,900",465952,2200,0.47,"3 bds, 3.0 ba ,2000 sqft",Keller Williams Realty Dulles,https://www.zillow.com/homedetails/13114-Kidwell-Field-Rd-Herndon-VA-20171/51716102_zpid/
House for sale,,Herndon,VA,20171,"$499,993",503093,2350,0.47,"3 bds, 4.0 ba ,2162 sqft",Maram Realty LLC,https://www.zillow.com/homedetails/13593-Big-Boulder-Rd-Herndon-VA-20171/52839768_zpid/
House for sale,,Herndon,VA,20171,"$649,950",643122,2800,0.44,"4 bds, 3.0 ba ,1874 sqft",KW United - Alexandria/Kingstowne,https://www.zillow.com/homedetails/13435-Muirkirk-Ln-Herndon-VA-20171/51760818_zpid/
House for sale,,Herndon,VA,20171,"$707,000",717853,3000,0.42,"5 bds, 3.0 ba ,3406 sqft",Century 21 Redwood Realty,https://www.zillow.com/homedetails/3221-Allness-Ln-Herndon-VA-20171/51759867_zpid/
House for sale,,Herndon,VA,20171,"$499,000",499868,2400,0.48,"3 bds, 4.0 ba ,1638 sqft",Peabody Real Estate LLC,https://www.zillow.com/homedetails/2514-Bronze-Stone-Pl-Herndon-VA-20171/65729092_zpid/
Condo for sale,,Herndon,VA,20171,"$422,500",422501,2000,0.47,"2 bds, 2.0 ba ,1237 sqft","Long & Foster Real Estate, Inc.",https://www.zillow.com/homedetails/13740-Endeavour-Dr-APT-504-Herndon-VA-20171/250474864_zpid/
House for sale,,Herndon,VA,20171,"$799,000",799011,3150,0.39,"4 bds, 4.0 ba ,2578 sqft",Redfin Corporation,https://www.zillow.com/homedetails/2644-W-Ox-Rd-Herndon-VA-20171/51729117_zpid/
House for sale,,Herndon,VA,20171,"$535,000",561382,2500,0.45,"3 bds, 3.0 ba ,1516 sqft",Weichert Realtors,https://www.zillow.com/homedetails/12628-Pinecrest-Rd-Herndon-VA-20171/51730978_zpid/
House for sale,,Herndon,VA,20171,"$660,000",664503,3100,0.47,"4 bds, 2.0 ba ,2280 sqft",Fairfax Realty Select,https://www.zillow.com/homedetails/13378-Point-Rider-Ln-Herndon-VA-20171/51729380_zpid/
House for sale,,Herndon,VA,20171,"$489,000",489098,2400,0.49,"3 bds, 4.0 ba ,2196 sqft",Samson Properties,https://www.zillow.com/homedetails/13129-Park-Crescent-Cir-Herndon-VA-20171/51717951_zpid/
New construction,,Herndon,VA,20171,"$1,560,000",,7223,,"6 bds, 7.0 ba ,5800 sqft",Compass,https://www.zillow.com/homedetails/2925-W-Ox-Rd-Herndon-VA-20171/51734322_zpid/
House for sale,,Herndon,VA,20171,"$540,000",553131,2500,0.45,"3 bds, 2.0 ba ,1620 sqft",Prestige Realty LLC,https://www.zillow.com/homedetails/12819-Pinecrest-Rd-Herndon-VA-20171/51733764_zpid/
House for sale,,Herndon,VA,20171,"$858,000",858007,3511,0.41,"6 bds, 4.0 ba ,4055 sqft",Premiere Realty LLC,https://www.zillow.com/homedetails/13326-Horsepen-Woods-Ln-Herndon-VA-20171/59786511_zpid/
House for sale,,Herndon,VA,20171,"$625,000",639327,2450,0.38,"3 bds, 2.0 ba ,1800 sqft",Coldwell Banker Realty,https://www.zillow.com/homedetails/12616-Glenbrooke-Woods-Dr-Herndon-VA-20171/51733829_zpid/
House for sale,,Herndon,VA,20171,"$379,900",380204,2200,0.58,"2 bds, 3.0 ba ,1314 sqft",Maple Realty LLC.,https://www.zillow.com/homedetails/2565-Logan-Wood-Dr-Herndon-VA-20171/51730457_zpid/
House for sale,,Herndon,VA,20171,"$849,899",849904,3200,0.38,"5 bds, 5.0 ba ,4436 sqft",e Venture LLC,https://www.zillow.com/homedetails/2905-Blue-Robin-Ct-Herndon-VA-20171/51765325_zpid/
House for sale,,Herndon,VA,20171,"$639,900",649468,2600,0.4,"5 bds, 5.0 ba ,1724 sqft",Quick Sell Realty LLC,https://www.zillow.com/homedetails/13500-Floris-St-Herndon-VA-20171/51729240_zpid/
House for sale,,Herndon,VA,20171,"$925,000",963920,3500,0.36,"4 bds, 4.0 ba ,4250 sqft",Metropolitan Properties,https://www.zillow.com/homedetails/13016-Grey-Friars-Pl-Herndon-VA-20171/51761085_zpid/
